,Magnitude,Repute,Summary
Rs806368(C;C),2.5,Bad,Associated with Alcohol Dependence;  associated with nicotine dependence (female)
Rs1057910(A;C),2.5,Bad,CYP2C9*3 carrier; average 40% reduction in warfarin metabolism
Rs6313(T;T),2.1,Bad,"depression, panic, stress response"
Rs10488631(T;T),1,Good,"Normal risk of developing SLE, primary biliary cirrhosis, and Sjögren's syndrome"
Rs2250889(C;C),0,Bad,1.69x higher risk for lung cancer
Rs28997576(C;C),2.5,Bad,probably increased risk of breast cancer
Rs4149056(C;C),3.2,Bad,17x myopathy risk for statin users
Rs4149056(C;T),2.1,Bad,reduced breakdown of some drugs; 5x increased myopathy risk for statin users
Rs3923809(A;A),2,Bad,1.9x risk for developing restless legs syndrome
Rs12469063(A;A),1,Good,Normal risk of developing restless legs syndrome
Rs1975197(C;C),1,Good,Normal risk of developing restless legs syndrome
Rs4626664(G;G),1,Good,Normal risk of developing restless legs syndrome
Rs1042713(A;A),1.7,Bad,1.7x increased risk that pediatric inhaler use may make asthma worse
Rs10509305(C;C),3,Bad,fetuses with this genotype may cause maternal pre-eclampsia
Rs12021720(T;T),0.1,Good,rare genotype but harmless
Rs12075(G;G),1,Good,Duffy Fy(a+b-) phenotype likely (unless Duffy null mutation is present)
Rs13078881(C;C),6.7,Bad,Biotinidase deficiency; note ability to treat & variable penetrance
Rs34626372(A;A),0,Good,L22- S142-
Rs4054823(T;T),2,Bad,1.26x higher risk of aggressive form of prostate cancer
Rs8050136(A;A),1.4,Bad,1.4x increased risk for T2D in some populations
Rs8099917(G;G),3,Bad,lower odds of responding to PEG-IFNalpha/RBV treatment
Rs8099917(G;T),2,Bad,Moderately lower odds of responding to PEG-IFNalpha/RBV treatment
Rs1800584(A;G),3,Bad,TPMT*4A heterozygote; possible issues detoxifying certain drugs
Rs1800584(A;A),3.5,Bad,TPMT*4A homozygote; likely issues detoxifying certain drugs
Rs28934895(C;C),5,Bad,Maple syrup urine disease
Rs28940279(A;C),3,Bad,Carrier of a Canavan disease mutation
Rs28940574(A;C),3,Bad,Carrier of a Canavan disease mutation
Rs12948217(A;C),3,Bad,Carrier of a Canavan disease mutation; note issue with microarray data though
Rs12948217(A;A),8,Bad,Canavan disease (predicted); note issue with microarray data though
Rs1801175(T;T),5,Bad,"Glycogen storage disease, type 1A"
Rs1801175(C;T),2.5,Bad,"carrier for glycogen storage disease, type 1A"
Rs1243168(T;T),2.3,Bad,Somewhat increased risk for chronic rhinosinusitis?
Rs28940871(C;G),3,Bad,Carrier of a Tay-Sachs mutation
Rs3785143(C;C),0,Good,normal risk of ADHD
Rs10468017(T;T),2,Good,associated with higher HDL cholesterol
Rs10468017(C;T),2,Good,associated with higher HDL cholesterol
Rs3764261(T;T),2.5,Good,associated with higher HDL cholesterol. HDL = good
Rs3764261(G;T),2,Good,associated with higher HDL cholesterol
Rs12678919(G;G),2,Good,associated with higher HDL cholesterol
Rs12678919(A;G),2,Good,associated with higher HDL cholesterol
Rs4149274(C;C),1.5,Good,Associated with higher HDL (good) cholesterol.
Rs4149274(C;T),1.5,Good,associated with higher HDL (good) cholesterol
Rs4939883(C;C),1.5,Good,associated with higher HDL cholesterol
Rs4939883(C;T),1.5,Good,associated with higher HDL cholesterol
Rs1864163(G;G),2,Good,associated with higher HDL cholesterol
Rs1864163(A;G),2,Good,associated with higher HDL cholesterol
Rs261332(A;A),2,Good,associated with higher HDL cholesterol
Rs261332(A;G),2,Good,associated with higher HDL cholesterol
Rs10503669(A;A),2,Good,associated with higher HDL cholesterol
Rs10503669(A;C),2,Good,associated with higher HDL cholesterol
Rs4149268(G;G),2,Good,associated with higher HDL cholesterol
Rs4149268(A;G),2,Good,associated with higher HDL cholesterol
Rs67666821(T;T),5,Bad,CYP3A4*20 homozygote; side effects likely from many drugs
Rs12696304(C;G),2,Bad,"Prone to aging faster, at least in European populations?"
Rs12696304(G;G),2,Bad,"Prone to aging faster, at least in European populations?"
Rs3821236(A;A),2.1,Bad,2x higher risk of lupus
Rs3821236(A;G),2,Bad,1.4x higher risk of lupus
Rs364897(A;A),0,Good,Unaffected Genotype
I4000415(C;C),6,Bad,Gaucher's disease
Rs2007153(A;A),1.5,Good,decreased risk of schizophrenia in limited study
Rs2007153(G;G),1.5,Bad,increased risk of schizophrenia in limited study
Rs2283123(C;T),1,Good,decreased risk of schizophrenia in limited study
Rs2283123(T;T),1,Good,decreased risk of schizophrenia in limited study
Rs464049(C;C),1.5,Good,decreased risk of schizophrenia in limited study
Rs464049(C;T),1.5,Bad,increased risk of schizophrenia in limited study
Rs464049(T;T),1.5,Bad,increased risk of schizophrenia in limited study
Rs11246226(A;A),1,Bad,increased risk of schizophrenia in limited study
Rs11246226(A;C),1.2,Good,decreased risk of schizophrenia in limited study
Rs11246226(C;C),1,Good,decreased risk of schizophrenia in limited study
Rs4320932(G;G),1.4,Good,0.74x decreased risk for ovarian cancer
Rs4320932(A;G),1.2,Good,0.87x decreased risk for ovarian cancer
Rs1361600(G;G),2,Bad,~2x increased risk for adult-onset asthma in Japanese populations
Rs13376333(C;T),1.5,Bad,1.5x higher risk of atrial fibrillation
Rs13376333(T;T),2,Bad,~2x higher risk of atrial fibrillation
Rs12536657(A;A),2.5,Bad,hypermetropia risk - longsightedness
Rs53576(A;A),2.8,Bad,Lack of empathy?
Rs28933099(A;A),3,Bad,Familial Hypertrophic Cardiomyopathy
Rs28932774(C;C),3,Bad,Familial Hypertrophic Cardiomyopathy
Rs28933405(T;T),3,Bad,Familial Hypertrophic Cardiomyopathy
Rs28934269(G;G),3,Bad,Familial Hypertrophic Cardiomyopathy
Rs28934270(A;A),3,Bad,Familial Hypertrophic Cardiomyopathy
Rs10509681(T;T),1,Good,No increased risk of GI bleeding on NSAID drugs
Rs10509681(C;C),2,Bad,>1.81x risk of GI bleeding with some NSAID drugs
Rs5030849(A;G),3,Bad,Carrier of a phenylketonuria mutation
Rs5030849(A;A),6,Bad,"PHENYLKETONURIA, MILD"
Rs28934899(G;G),6,Bad,Phenyketonuria
Rs1799883(A;A),0,Good,Two copies of the Thr allele in the FABP2 is associated with significantly increased sensitivity to saturated fats. Also contributes to increased refined carb sensitivity.
I4000422(A;A),5,Bad,Maple Syrup Urine Disease Type 1B
Rs6583817(C;T),1,Good,~0.80x (lower) risk for late onset Alzheimer's disease
Rs6583817(T;T),1,Good,~0.80x (lower) risk for late onset Alzheimer's disease
Rs2273697(A;A),1,Bad,Adverse reaction more likely to carbamazepine in epileptic patients
Rs2273697(A;G),1,Bad,Adverse reaction more likely to carbamazepine in epileptic patients
Rs2273697(G;G),0,Good,normal/common
Rs2295190(T;T),1.2,Bad,Slightly increased risk for ovarian cancer in women
Rs2295190(G;T),1.1,Bad,Slightly increased risk for ovarian cancer in women
Rs2352028(T;T),2,Bad,Increased risk of lung cancer in non-smokers and never smokers
Rs1801406(G;G),0,Good,benign variant
Rs1800559(A;A),4,Bad,susceptibility to malignant hyperthermia
Rs1058396(G;G),1,Good,"Jk(a+/b-) Kidd blood group, barring other variants"
Rs1058396(A;A),1,Good,"Jk(a-/b+) Kidd blood group, barring other variants"
Rs1135824(G;G),4.5,Bad,Two copies of CYP2D6*3B non-functioning variant
Rs12567232(A;A),2,Bad,Increased risk for Crohn's Disease
Rs12567232(A;G),2,Bad,Increased risk for Crohn's Disease
Rs41298442(G;G),5,Bad,Dystonia (dopa-responsive) from homozygous GCH1 mutation
Rs5030858(T;T),6,Bad,Phenylketonuria
Rs2076740(C;C),2,Bad,"2.4-6.1 risk of Autoimmune thyroid disease, if other SNP risk alleles present"
Rs10411210(T;T),2.1,Bad,1.15x increased risk of colorectal cancer
Rs17847577(T;T),7.5,Bad,Werner's Syndrome
Rs17847577(C;T),5,Bad,Unaffected carrier for Werner's Syndrome
Rs10455872(A;G),2,Bad,"1,51x increased Coronary Heart disease risk"
Rs10455872(G;G),3,Bad,"2,57x increased Coronary Heart disease risk"
Rs2282679(A;C),1,Bad,somewhat lower vitamin D levels
Rs2282679(C;C),1.5,Bad,lower vitamin D levels
Rs11572080(G;G),1,Good,No increased risk of GI bleeding on NSAID drugs
Rs10947262(C;C),1.3,Bad,1.3x increased risk for osteoarthritis
Rs34612342(G;G),5,Bad,increased risk for several cancers
Rs11466023(C;T),1.7,Bad,carrier of a variant related to a mild form of familial Mediterranean fever
Rs2070074(A;G),1.2,Good,harmless ancestral galactosemia variant carrier
Rs1050828(A;G),3,Bad,G6PD deficiency carrier; Hb1Ac value may need adjusting for diabetes diagnosis
Rs17107315(C;C),4,Bad,risk of pancreatitis
Rs17107315(C;T),3,Bad,risk of pancreatitis
Rs2070075(T;T),0,Good,Apparently benign variant
Rs2070075(C;T),0,Good,Apparently benign variant
Rs1800730(T;T),2.6,Bad,affected by a  mild form of hemochromatosis
Rs6471(T;T),5,Bad,Congenital adrenal hyperplasia
Rs1127354(A;A),3.2,Bad,"Causative for ITPase deficiency; also, reduces risk of anemia due to ribivarin anti-hepatitis C virus therapy"
Rs104886461(G;G),8,Bad,Mucolipidosis type IV
Rs104886461(A;G),3,Bad,Carrier of mucolipidosis type IV mutation
Rs3131296(G;G),1.4,Bad,1.4x increased risk for schizophrenia
Rs3131296(A;G),1.2,Bad,1.2x increased risk for schizophrenia
Rs3131296(A;A),0,Good,normal risk for developing schizophrenia
Rs9960767(C;C),1.4,Bad,1.4x increased risk for schizophrenia
Rs9960767(A;C),1.2,Bad,1.2x increased risk for schizophrenia
Rs1126497(C;T),1.4,Bad,1.4x increased risk for breast cancer
Rs1126497(T;T),1.4,Bad,1.4x increased risk for breast cancer
Rs1344706(T;T),1.2,Bad,1.2x increased risk for schizophrenia
Rs1344706(G;T),1.1,Bad,1.1x increased risk for schizophrenia
Rs28940577(A;G),3,Bad,carrier of a Familial Mediterranean Fever allele
Rs28940577(G;G),3,Bad,Familial Mediterranean Fever risk
Rs1800730(A;T),2.1,Bad,carrier for a mild form of hemochromatosis
Rs35887622(A;A),0,Good,normal hearing
Rs35887622(G;G),3,Bad,Variant of unclear significance wrt deafness
Rs1799913(C;C),1.1,Bad,Hispanics may be at increased risk of heroin addiction.
Rs9298506(A;A),0,Bad,~1.46x increased risk of aneurysm
Rs4293393(T;T),0,Bad,1.25x Increased Risk of CKD for T allele in Icelandic study
I4000415(C;T),3.5,Bad,carrier for Gaucher's disease; increased risk for Parkinsons disease
Rs6010620(G;G),1.4,Bad,1.4x higher risk for glioma development; but this is the common allele. 1.4x higher risk for atopic dermatitis in Han Chinese
Rs1800588(C;C),1.6,Bad,normal HDL-C levels
Rs646776(A;A),2.1,Bad,1.2x risk of coronary artery disease
Rs4648022(C;C),0,Bad,"Normal risk for NHL.  The minor, protective allele is rare."
Rs995030(G;G),1.5,Bad,non-protective against testicular cancer
Rs2274223(A;G),2,Bad,1.5x increased risk for stomach & esophageal cancer (seen in Han Chinese)
Rs2274223(G;G),2.4,Bad,1.9x increased risk for stomach & esophageal cancer (seen in Han Chinese)
Rs1892534(G;G),1.5,Good,Slightly higher C-Reactive Protein levels. Possibly slightly lower cancer risk.
Rs1892534(A;A),1.2,Bad,Lower C-Reactive Protein levels. 1.2x increased risk overall for cancers.
Rs2464196(C;T),1.5,Bad,~1.5x increased lung cancer risk
Rs2464196(T;T),2,Bad,~2x increased lung cancer risk
Rs1169300(A;G),1.5,Bad,~1.5x increased lung cancer risk
Rs1169300(A;A),2,Bad,~2x increased lung cancer risk
Rs872071(G;G),1.5,Bad,~1.5x increased risk for chronic lymphocytic leukemia
Rs872071(A;G),1.5,Bad,~1.5x increased risk for chronic lymphocytic leukemia
Rs1049296(C;C),0,Good,C1 subtype of transferrin; 
Rs3818361(C;T),1.1,Bad,1.15x increased risk for late-onset Alzheimer's
Rs3818361(T;T),1.2,Bad,1.2x increased risk for late-onset Alzheimer's
Rs889312(A;C),1.1,Bad,Very slightly higher risk for breast cancer
Rs889312(C;C),1.1,Bad,Very slightly higher risk for breast cancer
Rs10865331(A;G),1.2,Bad,1.2x higher risk for ankylosing spondylitis
Rs10865331(A;A),1.4,Bad,1.4x higher risk for ankylosing spondylitis
Rs3135391(T;T),3,Bad,3 to 6 fold higher risk for multiple sclerosis
Rs3135391(C;T),2,Bad,HLA-DRB1*1501 carrier; higher multiple sclerosis risk
Rs4959039(A;G),1.4,Bad,1.4x higher risk for multiple sclerosis
Rs4959039(G;G),1.6,Bad,1.6x higher risk for multiple sclerosis
Rs10306114(A;G),1,Bad,Higher risk of bleeding during coronary angiography?
Rs10306114(G;G),1,Bad,Higher risk of bleeding during coronary angiography?
Rs3842787(C;T),2,Bad,Higher risk of bleeding during coronary angiography
Rs3842787(T;T),3,Bad,Higher risk of bleeding during coronary angiography
Rs7158782(A;G),2,Bad,2x higher risk of adverse side-effect if taking aromatase inhibitor
Rs7158782(G;G),4,Bad,4x higher risk of adverse side-effect if taking aromatase inhibitor
Rs165599(G;G),1.5,Bad,May indicate increased susceptibility to schizophrenia
Rs925391(C;C),1.1,Bad,more likely to go bald; common
Rs17571(C;C),0,Good,Normal risk of vCJD
Rs5968255(T;T),0,Bad,"common, but faster HIV progression"
Rs1012053(A;A),1.5,Bad,Normal (higher) risk of Bipolar Disorder.
Rs5968255(C;C),1.5,Good,slower AIDS progression (8 years)
Rs925391(T;T),3,Good,unlikely to go bald
Rs6232(A;G),2,Bad,Higher risk of obesity and insulin sensitivity
Rs16991615(A;G),1.5,Good,slight increase (11 months) in avg age at menopause
Rs7454108(C;T),1.5,Bad,Single HLA-DQ8 haplotype
Rs7454108(C;C),1.5,Bad,Homozygous for HLA-DQ8 haplotype
Rs4496877(T;T),1.2,Bad,"For type-1 diabetics, 1.6x increased nephropathy risk"
Rs2227692(C;T),1.6,Bad,1.6x higher risk for diffuse gastric cancer
Rs2227692(T;T),1.6,Bad,1.6x higher risk for diffuse gastric cancer
Rs964184(G;G),2.2,Bad,increased risk of hypertriglyceridemia
Rs36053993(A;A),5,Bad,likely to be at somewhat increased risk for colorectal cancers
Rs34612342(A;G),4,Bad,increased risk for several cancers
Rs36053993(A;G),3,Bad,carrier of a risk allele associated with colorectal polyps and possibly cancers
Rs10993994(T;T),2,Bad,increased prostate cancer risk (odds ratio 1.6)
Rs5030841(C;C),6,Bad,Phenylketonuria
Rs62516151(A;A),5.9,Bad,Non-phenylketonuria hyperphenylalaninemia genotype
Rs62514953(T;T),6,Bad,Phenyketonuria
Rs5030851(T;T),6,Bad,Phenyketonuria
Rs62642933(G;G),6,Bad,Phenyketonuria
Rs62642934(G;G),5.9,Bad,Non-phenylketonuria hyperphenylalaninemia genotype
Rs62514958(G;G),5.9,Bad,Non-phenylketonuria hyperphenylalaninemia genotype
Rs62516060(T;T),5.9,Bad,Non-phenylketonuria hyperphenylalaninemia genotype
Rs62642937(T;T),5.9,Bad,Non-phenylketonuria hyperphenylalaninemia genotype
Rs5030856(G;G),5.9,Bad,Non-phenylketonuria hyperphenylalaninemia genotype
Rs5030859(A;A),5,Bad,phenylketonuria carrier
Rs5030860(G;G),5.9,Bad,Hyperphenylalaninemia (non-phenylketonuria)
Rs79874540(T;T),3.3,Bad,Increased risk for impulsive/aggressive behaviour when drunk
Rs71785313(-;-),5.5,Bad,~6x higher risk for end-stage renal disease
Rs2619522(G;G),2,Bad,associated with lower attention capacity but also a decrease in positive and paranoid schizotypy scores
Rs1018381(C;C),0.1,Good,normal cognitive ability
Rs1018381(T;T),2,Bad,impaired cognitive ability
Rs6048(G;G),1.2,Good,slightly lower risk (10-20%) of deep vein thrombosis
Rs2294008(C;C),1.4,Good,lower risk of gastric and bladder cancer
Rs2294008(T;T),2.1,Bad,increased risk of gastric and bladder cancer
I4000446(D;D),7,Bad,Torsion dystonia
Rs113993960(-;CTT),3,Bad,carrier of a cystic fibrosis allele
Rs113993960(-;-),8,Bad,Cystic Fibrosis; homozygote for delta F-508 mutation
Rs113993958(C;G),3,Bad,carrier for milder form of cystic fibrosis
Rs113993958(C;C),4,Bad,Cystic Fibrosis (D110H); milder form
Rs113993959(T;T),4,Bad,Cystic Fibrosis; homozygote for G542X mutation
Rs113993959(G;T),3,Bad,carrier for G542X cystic fibrosis mutation
Rs113993961(C;C),6,Bad,Werner syndrome; homozygote for transversion mutation
Rs113993962(-;ATCTGA),3,Bad,carrier for Bloom syndrome mutation
Rs113993962(-;-),6.6,Bad,Bloom syndrome; homozygote for most common mutation
Rs5742904(A;G),3.1,Bad,"Hypercholesterolemia, Type B; heterozygote"
Rs121908034(G;G),2.9,Bad,hypercholesterolemia risk; homozygote
Rs121908034(C;G),5,Bad,Familial Hypercholesterolemia
Rs28942084(C;T),5,Bad,Familial Hypercholesterolemia
Rs4986761(C;T),1,Bad,very slightly  increased risk (1.05) for breast cancer
Rs4986761(C;C),1.5,Bad,very slightly increased (1.5x or less) breast cancer risk
Rs1800056(C;T),1.05,Bad,very slightly  increased risk (1.05) for breast cancer
Rs1800056(C;C),1.5,Bad,very slightly increased (1.5x or less) breast cancer risk
Rs748404(C;T),1.15,Bad,very slightly increased risk (1.15) for lung cancer
Rs748404(T;T),1.25,Bad,slightly  increased risk (1.25) for lung cancer
Rs12050604(A;A),1.2,Bad,slightly increased risk for lung cancer
Rs12050604(A;C),1.09,Bad,very slightly increased risk for lung cancer
Rs110419(A;G),1.3,Bad,1.3x increased risk for neuroblastoma
Rs110419(A;A),2,Bad,1.7x increased risk for neuroblastoma
Rs2305795(A;G),2,Bad,1.28x higher risk of narcolepsy compared to (G;G) genotype
Rs2305795(G;G),0,Good,normal risk of narcolepsy
Rs2305795(A;A),2,Bad,1.64x higher risk of narcolepsy compared to (G;G) genotype
I3002432(A;A),6.7,Bad,6.7x increased risk of venous thromboembolism
Rs104894435(A;A),4,Bad,dystonia due to autosomal recessive GCH1 mutation
Rs104886457(T;T),5,Bad,Fanconi Anemia
Rs104886458(C;C),5,Bad,Fanconi anemia
Rs104893915(T;T),7,Bad,Several bone disorders associated with this genotype
Rs104893922(G;G),6,Bad,"Spinal muscular atrophy, type 1"
Rs104893930(A;A),6,Bad,"Spinal muscular atrophy, type 2"
Rs104893931(T;T),6,Bad,"Spinal muscular atrophy, type 3"
Rs104893932(G;G),6,Bad,"Spinal muscular atrophy, type 3"
Rs104893934(G;G),6,Bad,"Spinal muscular atrophy, type 1"
Rs104893935(G;G),6,Bad,"Spinal muscular atrophy, type 1 or 2"
Rs104894085(T;T),9.1,Bad,Lipoid congenital adrenal hyperplasia (LCAH); treatment required
Rs104894087(A;A),9.1,Bad,Lipoid congenital adrenal hyperplasia (LCAH); treatment required
Rs104894089(A;A),9.1,Bad,Lipoid congenital adrenal hyperplasia (LCAH); treatment required
Rs104894090(T;T),9.1,Bad,Lipoid congenital adrenal hyperplasia (LCAH); treatment required
Rs104894106(T;T),6,Bad,Friedreich's ataxia
Rs104894107(T;T),6,Bad,Friedreich's ataxia
Rs104894128(C;C),4,Bad,Nemaline Myopathy 4
Rs104894129(A;A),4,Bad,Nemaline Myopathy 4
Rs104894135(C;C),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894137(A;A),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894138(T;T),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894141(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894142(T;T),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894143(C;C),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894145(T;T),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894146(G;G),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894147(G;G),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894148(T;T),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894149(T;T),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894150(A;A),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894151(C;C),6.3,Bad,"Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894152(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894153(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894154(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894155(A;A),6.6,Bad,"Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency"
Rs104894299(A;A),6,Bad,Congenital myasthenic syndrome
Rs104894434(C;C),4,Bad,dystonia due to autosomal recessive GCH1 mutation
Rs104894442(C;C),4,Bad,dystonia due to autosomal recessive GCH1 mutation
Rs104894443(A;A),4,Bad,dystonia due to autosomal recessive GCH1 mutation
Rs104894445(A;A),4,Bad,dystonia due to autosomal recessive GCH1 mutation
Rs104894548(C;C),8,Bad,Canavan disease (predicted)
Rs104894549(A;A),8,Bad,Canavan disease (predicted)
Rs104894550(G;G),8,Bad,Canavan disease (predicted)
Rs104894551(G;G),8,Bad,Canavan disease (predicted)
Rs104894552(T;T),8,Bad,Canavan disease (predicted)
Rs104894553(A;A),4,Bad,mild Canavan disease
Rs104894635(A;A),8,Bad,Sanfilippo syndrome type A
Rs104894637(G;G),8,Bad,Sanfilippo syndrome type A
Rs5911(C;C),1.5,Bad,BAK platelet-specific alloantigen
Rs6746030(A;A),1,Bad,Increased perception of pain
Rs6746030(G;G),0,Good,Normal perception of pain
Rs2834167(A;A),2.1,Bad,2.67x increased risk for systemic sclerosis
Rs279858(G;G),2.1,Bad,apparently more prone to alcoholism
Rs13181(T;T),1,Good,Normal risk for cutaneous melanoma
Rs1042713(A;G),1.3,Bad,1.3x increased risk that pediatric inhaler use may make asthma worse
Rs9536314(T;T),0,Good,Most common genotype for this SNP
Rs660895(G;G),2.5,Bad,6x higher risk of rheumatoid arthritis
Rs1801133(C;C),0,Good,Common genotype: normal homocysteine levels
Rs4363657(C;C),4,Bad,17x increased myopathy risk for statin users
Rs4363657(C;T),2.1,Bad,4.5x increased myopathy risk for statin users
Rs663048(T;T),2.5,Bad,3x increased risk of developing lung cancer
Rs2279744(G;G),2.1,Bad,Generally more cancer prone
Rs34637584(A;A),3,Bad,"possible miscall in Ancestry V2.0 datasets; otherwise, 15 to 30% chance of Parkinson's disease, depending on age, family history, and ethnicity"
Rs34637584(A;G),3,Bad,"possible miscall in Ancestry V2.0 datasets; otherwise, 15 to 30% chance of Parkinson's disease, depending on age, family history, and ethnicity"
Rs721048(A;A),1.9,Bad,slightly increased prostate cancer risk
Rs9272346(A;G),3,Bad,5.49x risk of type-1 diabetes
Rs7923837(G;G),2,Bad,3.2x risk for T2D
Rs3758391(C;C),2,Bad,Normal (worse) aging.
Rs1801155(A;A),6,Bad,risk of colon cancer and familial adenomatous polyposis (FAP) which usually progresses to malignancy
Rs2180439(T;T),3,Bad,2x increased risk of Male Pattern Baldness.
Rs1160312(A;A),2,Bad,2.56x increased risk of Male Pattern Baldness.
Rs4795400(T;T),0,Bad,"if 4 years old or younger, ~2.5x increased asthma risk if exposed to smoke"
Rs2180439(C;C),2,Good,Reduced risk of Male Pattern Baldness.
Rs1160312(G;G),2,Good,Reduced risk of Baldness.
Rs9642880(G;G),2,Good,Slightly lower risk of Bladder Cancer.
Rs6498169(A;A),2,Bad,>1.14x risk of multiple sclerosis
Rs3129934(C;C),2.1,Good,Normal lower risk of Multiple Sclerosis.
Rs11171739(T;T),1,Good,Normal risk of developing Type-1 diabetes
Rs7659604(C;C),0,Bad,1.1x risk of type II diabetes
Rs1049353(A;A),1,Good,Likely better response to antidepressants if female
Rs2200733(C;C),1.9,Good,0.86x decreased risk of Atrial Fibrillation
Rs2305480(T;T),2,Bad,"if 4 years old or younger, ~3x increased asthma risk if exposed to smoke"
Rs3775291(G;G),2,Bad,common but higher risk of age related macular degeneration
Rs3890745(G;G),0,Good,0.79x Reduced risk of RA
Rs3758549(C;C),1.1,Bad,increased risk of parkinson's disease
Rs6679677(A;A),3,Bad,5.2x risk for T1D; 3.3x for RA
Rs6679677(A;C),2.3,Bad,1.8x risk for T1D; 2x risk for RA
I3003626(D;D),5,Good,resistant to HIV
Rs807701(C;C),2.1,Bad,2-5x increased dyslexia risk
Rs10759932(C;C),2,Bad,increased risk for chorionic plate inflammation
Rs28897672(G;G),6,Bad,considered a pathogenic BRCA1 breast cancer variant
Rs1799966(G;G),2,Bad,very slightly increased risk for breast cancer
Rs6983267(G;G),3.2,Bad,1.6x increased risk for prostate cancer; also other cancers
Rs1800629(A;A),2.5,Bad,complex; generally higher risk for certain diseases
Rs763361(C;C),1,Good,Normal risk for multiple autoimmune diseases
Rs3892097(A;A),3,Bad,CYP2D6 poor metabolizer; many associations related to drug metabolism
Rs2383206(G;G),3,Bad,1.7x increased risk for heart disease
Rs1143699(C;C),2,Bad,"In men, 2.19x risk of type 2 diabetes"
Rs1015362(A;A),1.9,Good,Probably tans instead of freckles and sunburns.
Rs1805007(T;T),3.2,Bad,increased response to anesthetics; 13-20x higher likelihood of red hair; increased risk of melanoma
Rs1799971(G;G),2.6,Bad,more pain
Rs5751876(T;T),2.1,Bad,significantly higher anxiety levels after moderate caffeine consumption
Rs334(T;T),5,Bad,sickle cell anemia
Rs334(A;T),4,Bad,"carrier of, but unaffected by, sickle cell anemia; greater malaria resistance"
Rs334(A;A),0,Good,normal allele
Rs1801274(T;T),1.5,Bad,complex; generally greater risk for cancer progression
Rs1801274(C;C),1,Good,normal risk for cancer progression
Rs1024611(C;T),2,Bad,increased risk of exercise induced ischemia
Rs1024611(C;C),2.2,Bad,"increased risk of exercise induced ischemia, Increased CCL2 levels; increased rate of HIV progression"
Rs7538876(G;G),2,Good,0.78x decreased Basal Cell Carcinoma risk.
Rs4151667(A;A),3.1,Bad,age related macular degeneration
Rs9332739(C;C),2.1,Good,0.47x decreased risk for AMD
Rs4244285(A;A),4,Bad,"poor metabolizer of several popular medicines; patients prescribed Plavix get less benefit, and have higher risk for adverse cardiovascular events"
Rs9939609(T;T),1.5,Good,lower risk of obesity and Type-2 diabetes
Rs4244285(A;G),3,Bad,"poorer metabolizer of several popular medicines; patients prescribed Plavix get less benefit, and have higher risk for adverse cardiovascular events"
Rs1047781(A;A),0,Good,"ABH blood group ""Secretor"" status if Japanese"
Rs11200638(A;A),3.5,Bad,~10x increased risk of wet age related macular degeneration
Rs2511989(A;A),2.2,Good,0.44x decreased age-related macular degeneration risk
Rs2511989(A;G),2.1,Good,0.63x decreased age-related macular degeneration risk
Rs3775291(A;A),2.2,Good,0.44x decreased risk for dry age related macular degeneration
Rs3775291(A;G),2.1,Good,0.71x decreased risk for dry age related macular degeneration
Rs3025039(T;T),2,Bad,2.6x increased risk for ARMD in a Taiwanese population
Rs3025039(C;T),2,Bad,2.6x increased risk for ARMD in a Taiwanese population
Rs380390(C;C),2.1,Bad,increased risk for ARMD
Rs3793784(G;G),2,Bad,1.6x risk for ARMD
Rs2143340(C;C),2.3,Bad,> 2x risk of dyslexia and poor reading performance
Rs2143340(C;T),2,Bad,increased risk of dyslexia and poor reading performance
Rs4570625(G;G),1.5,Bad,maybe: higher scores on anxiety-related personality traits; greater placebo response
Rs1265181(G;G),2.5,Bad,possibly increased risk of psoriasis
Rs1800562(A;G),3,Bad,"One copy of C282Y, carrier of hemochromatosis, likely unaffected unless also H63D carrier."
Rs7754840(C;G),3,Bad,1.3x increased risk for type-2 diabetes
Rs7754840(C;C),3,Bad,1.3x increased risk for type-2 diabetes
